stemming;anjuran;larangan;informasi
['muhammad', 'hamba', 'allah', 'rasul', 'heraclius', 'kuasa', 'romawi', 'selamat', 'siapa', 'ikut', 'tunjuk', 'kemudian', 'aku', 'ajak', 'seru', 'islam', 'masuk', 'islam', 'kamu', 'kamu', 'selamat', 'allah', 'beri', 'pahala', 'kepada', 'kali', 'kamu', 'paling', 'kamu', 'tanggung', 'dosa', 'rakyat', 'kamu', 'hai', 'ahli', 'kitab', 'mari', 'pegang', 'suatu', 'kalimat', 'tetap', 'selisih', 'kamu', 'sembah', 'allah', 'sekutu', 'sesuatu', 'bagi', 'jadi', 'bagi', 'rabb', 'allah', 'paling', 'kata', 'saksi', 'orangorang', 'serah', 'diri', 'allah', 'abu', 'sufyan', 'tutur', 'heraclius', 'sampai', 'apa', 'kata', 'selesai', 'baca', 'surat', 'sebut', 'jadi', 'hiruk', 'pikuk', 'suarasuara', 'ribut', 'usir', 'aku', 'kata', 'temantemanku', 'usir', 'keluar', 'sungguh', 'ajak', 'urus', 'anak', 'abu', 'kabsyah', 'heraclius', 'khawatir', 'raja', 'romawipada', 'masa', 'itu', 'aku', 'khawatir', 'muhammad', 'jaya', 'akhir', 'asa', 'hilang', 'allah', 'masuk', 'aku', 'islam', 'ibnu', 'an', 'nazhur', 'orang', 'besar', 'iliya', 'heraclius', 'orang', 'uskup', 'agama', 'nashrani', 'cerita', 'suatu', 'hari', 'heraclius', 'unjung', 'iliya', 'sangat', 'gelisah', 'kata', 'bagi', 'komandan', 'perang', 'sungguh', 'ingkar', 'ada', 'lanjut', 'kata', 'ibnu', 'nazhhur', 'heraclius', 'orang', 'ahli', 'nujum', 'selalu', 'perhati', 'jalan', 'bintangbintang', 'pernah', 'jawab', 'tanya', 'pendeta', 'tanya', 'kepada', 'suatu', 'malam', 'amat', 'jalan', 'bintangbintang', 'lihat', 'raja', 'khitan', 'lahir', 'siapa', 'ummat', 'khitan', 'jawab', 'pendeta', 'khitan', 'hanya', 'orangorang', 'yahudi', 'jangan', 'risau', 'orangorang', 'yahudi', 'perintah', 'seluruh', 'negeri', 'raja', 'orangorang', 'yahudi', 'negeri', 'sebut', 'bunuh', 'hadapakan', 'heraclius', 'orang', 'utus', 'raja', 'bani', 'ghasssan', 'cerita', 'perihal', 'rasulullah', 'orang', 'selesai', 'cerita', 'lalu', 'heraclius', 'perintah', 'periksa', 'khitan', 'atau', 'usai', 'periksa', 'nyata', 'memang', 'berkhitam', 'lalu', 'beritahukan', 'orang', 'heraclius', 'heraclius', 'tanya', 'orang', 'sebut', 'orangorang', 'arab', 'lain', 'khitan', 'atau', 'jawab', 'orang', 'arab', 'khitan', 'semua', 'heraclius', 'kata', 'ini', 'raja', 'ummat', 'sungguh', 'lahir', 'kemudian', 'heraclisu', 'kirim', 'surat', 'orang', 'sahabat', 'roma', 'ilmu', 'setarf', 'heraclisu', 'cerita', 'perihal', 'lahir', 'nabi', 'muhammad', 'terus', 'jalan', 'negeri', 'himsha', 'tiba', 'himsha', 'balas', 'surat', 'sahabat', 'tiba', 'lebih', 'sahabat', 'tuju', 'dapat', 'heraclius', 'muhammad', 'lahir', 'beliau', 'memang', 'orang', 'nabi', 'heraclius', 'lalu', 'undang', 'besar', 'roma', 'datang', 'tempat', 'himsha', 'semua', 'hadir', 'majlisnya', 'heraclius', 'perintah', 'kunci', 'semua', 'pintu', 'kemudian', 'kata', 'wahai', 'bangsa', 'rum', 'mau', 'semua', 'oleh', 'menang', 'maju', 'gilang', 'gemilang', 'raja', 'tetap', 'utuh', 'tangan', 'kalau', 'mau', 'aku', 'muhammad', 'nabi', 'dengar', 'ucap', 'lari', 'bagai', 'keledai', 'liar', 'padahal', 'semua', 'pintu', 'kunci', 'lihat', 'ada', 'heraclius', 'jadi', 'putus', 'harap', 'iman', 'percaya', 'nabi', 'muhammad', 'lalu', 'perintah', 'semua', 'tempat', 'masingmasing', 'kata', 'sungguh', 'ucap', 'kata', 'tadi', 'hanya', 'dar', 'uji', 'teguh', 'hati', 'semua', 'kini', 'lihat', 'teguh', 'lalu', 'sujud', 'hadap', 'heraclius', 'senang', 'kepada', 'demikian', 'akhir', 'kisah', 'heraclius', 'riwayat', 'shalih', 'bin', 'kais', 'yunus', 'mamar', 'az', 'zuhri'];1;1;1
['baca', 'beliau', 'jawab', 'aku', 'baca', 'nabi', 'jelas', 'malaikat', 'pegang', 'peluk', 'sangat', 'kuat', 'kemudian', 'lepas', 'kata', 'baca', 'beliau', 'jawab', 'aku', 'baca', 'malaikat', 'pegang', 'peluk', 'sangat', 'kuat', 'kemudian', 'lepas', 'kata', 'baca', 'beliau', 'jawab', 'aku', 'baca', 'malaikat', 'pegang', 'peluk', 'tiga', 'kali', 'sangat', 'kuat', 'lalu', 'lepas', 'kata', 'baca', 'sebut', 'nama', 'tuhan', 'cipta', 'cipta', 'manusia', 'gumpal', 'darah', 'baca', 'tuhan', 'maha', 'murah', 'nabi', 'keluarga', 'bawa', 'kalimat', 'wahyu', 'tadi', 'ada', 'gelisah', 'beliau', 'temu', 'khadijah', 'binti', 'khawailidh', 'kata', 'selimut', 'aku', 'selimut', 'aku', 'beliau', 'limut', 'hingga', 'hilang', 'takut', 'lalu', 'beliau', 'cerita', 'peristiwa', 'jadi', 'khadijah', 'aku', 'khawatir', 'diri', 'khadijah', 'kata', 'allah', 'allah', 'celaka', 'lama', 'engkau', 'orang', 'sambung', 'silaturrahim', 'khadijah', 'kemudian', 'ajak', 'beliau', 'temu', 'waroqoh', 'bin', 'naufal', 'bin', 'asad', 'bin', 'abdul', 'uzza', 'putra', 'paman', 'khadijah', 'agama', 'nasrani', 'masa', 'jahiliyyah', 'tulis', 'buku', 'bahasa', 'ibrani', 'tulis', 'kitab', 'injil', 'bahasa', 'ibrani', 'izin', 'allah', 'waroqoh', 'tua', 'mata', 'buta', 'khadijah', 'kata', 'wahai', 'putra', 'paman', 'dengar', 'apa', 'sampai', 'putra', 'saudara', 'waroqoh', 'kata', 'wahai', 'putra', 'saudara', 'apa', 'kamu', 'alami', 'rasulullah', 'tutur', 'peristiwa', 'alam', 'waroqoh', 'kata', 'namus', 'pernah', 'allah', 'turun', 'musa', 'duhai', 'anda', 'aku', 'muda', 'aku', 'hidup', 'kamu', 'usir', 'kaum', 'rasulullah', 'tanya', 'aku', 'usir', 'waroqoh', 'jawab', 'iya', 'satu', 'orang', 'datang', 'bawa', 'apa', 'kamu', 'bawa', 'sakit', 'musuh', 'anda', 'aku', 'jadi', 'aku', 'tolong', 'mampu', 'waroqoh', 'alami', 'peristiwa', 'yakin', 'sebut', 'lebih', 'tinggal', 'dunia', 'masa', 'fatroh', 'kosong', 'wahyu', 'ibnu', 'syihab', 'kata', 'abar', 'kepada', 'abu', 'salamah', 'bin', 'abdurrahman', 'jabir', 'bin', 'abdullah', 'al', 'anshari', 'tutur', 'kosong', 'wahyu', 'bagaimana', 'rasulullah', 'cerita', 'sedang', 'jalan', 'aku', 'dengar', 'suara', 'langit', 'aku', 'pandang', 'arah', 'nyata', 'malaikat', 'pernah', 'datang', 'kepada', 'gua', 'hiro', 'duduk', 'atas', 'kursi', 'langit', 'bumi', 'aku', 'takut', 'pulang', 'kata', 'selimut', 'aku', 'selimut', 'aku', 'allah', 'taala', 'turun', 'wahyu', 'wahai', 'orang', 'selimut', 'firman', 'allah', 'berhalaberhala', 'tinggal', 'sejak', 'wahyu', 'terus', 'turun', 'sambung', 'hadits', 'riwayat', 'abdullah', 'bin', 'yusuf', 'abu', 'shalih', 'hilal', 'bin', 'raddad', 'az', 'zuhri', 'yunus', 'kata', 'mamar', 'pakat', 'dapat', 'az', 'zuhri'];0;0;1
['sangat', 'kuat', 'ingin', 'hafal', 'apa', 'turun', 'al', 'quran', 'menggerakgerakkan', 'dua', 'bibir', 'beliau', 'kata', 'ibnu', 'abbas', 'aku', 'gerak', 'dua', 'bibir', 'baca', 'kalian', 'bagaimana', 'rasulullah', 'laku', 'kepada', 'kata', 'said', 'aku', 'gerak', 'dua', 'bibir', 'baca', 'kalian', 'bagaimana', 'aku', 'lihat', 'ibnu', 'abbas', 'laku', 'nabi', 'gerak', 'dua', 'bibir', 'kemudian', 'turun', 'firman', 'allah', 'taala', 'jangan', 'kamu', 'gerak', 'lidah', 'baca', 'al', 'quran', 'hendak', 'cepatcepat', 'kuasa', 'nya', 'sungguh', 'atas', 'tanggung', 'kami', 'kumpul', 'dada', 'buat', 'pandai', 'baca', 'maksud', 'allah', 'kumpul', 'dada', 'hafal', 'kemudian', 'kamu', 'baca', 'apabila', 'selesai', 'baca', 'ikut', 'baca', 'maksud', 'dengar', 'diam', 'kemudian', 'allah', 'taala', 'firman', 'kemudian', 'sungguh', 'atas', 'tanggung', 'kami', 'jelas', 'maksud', 'wajib', 'kami', 'baca', 'rasulullah', 'sejak', 'bila', 'jibril', 'alaihis', 'salam', 'datang', 'kepada', 'beliau', 'dengar', 'bila', 'jibril', 'alaihis', 'salam', 'pergi', 'nabi', 'baca', 'sahabat', 'bagaimana', 'jibril', 'alaihis', 'salam', 'baca', 'beliau'];0;1;1
['terkadang', 'datang', 'kepada', 'suara', 'gerincing', 'lonceng', 'cara', 'paling', 'berat', 'buat', 'lalu', 'henti', 'aku', 'erti', 'apa', 'sampai', 'terkadang', 'datang', 'malaikat', 'rupa', 'orang', 'lakilaki', 'lalu', 'bicara', 'kepada', 'aku', 'ikut', 'apa', 'ucap', 'aisyah', 'kata', 'sungguh', 'aku', 'pernah', 'lihat', 'turun', 'wahyu', 'beliau', 'suatu', 'hari', 'sangat', 'dingin', 'lalu', 'henti', 'aku', 'lihat', 'dahi', 'beliau', 'kucur', 'keringat'];0;0;1
['manusia', 'paling', 'lembut', 'utama', 'bulan', 'ramadlan', 'malaikat', 'jibril', 'alaihis', 'salam', 'temu', 'jibril', 'alaihis', 'salam', 'datang', 'malam', 'bulan', 'ramadlan', 'jibril', 'alaihis', 'salam', 'ajar', 'al', 'quran', 'sungguh', 'rasulullah', 'jauh', 'lebih', 'lembut', 'angin', 'hembus'];0;0;1
['semua', 'buat', 'gantung', 'niat', 'balas', 'tiaptiap', 'orang', 'gantung', 'apa', 'niat', 'barangsiapa', 'niat', 'hijrah', 'dunia', 'gapai', 'orang', 'perempuan', 'nikah', 'hijrah', 'apa', 'niat'];0;0;1
['iman', 'kamu', 'iman', 'allah', 'malaikatmalaikatnya', 'kitabkitabnya', 'temu', 'dengan', 'rasulrasulnya', 'kamu', 'iman', 'hari', 'bangkit', 'jibril', 'alaihis', 'salam', 'kata', 'islam', 'jawab', 'nabi', 'islam', 'kamu', 'sembah', 'allah', 'sekutu', 'suatu', 'apa', 'kamu', 'diri', 'shalat', 'kamu', 'tunai', 'zakat', 'wajib', 'puasa', 'bulan', 'ramadlan', 'jibril', 'alaihis', 'salam', 'kata', 'ihsan', 'nabi', 'jawab', 'kamu', 'sembah', 'allah', 'seolaholah', 'lihat', 'bila', 'kamu', 'lihat', 'sungguh', 'lihat', 'jibril', 'alaihis', 'salam', 'kata', 'kapan', 'jadi', 'hari', 'kiamat', 'nabi', 'jawab', 'tanya', 'lebih', 'tahu', 'tanya', 'aku', 'terang', 'tandatandanya', 'orang', 'budak', 'lahir', 'tuan', 'gembala', 'unta', 'kulit', 'hitam', 'berlombalomba', 'bangun', 'gedunggedung', 'lama', 'lima', 'masa', 'tahu', 'lama', 'allah', 'kemudian', 'nabi', 'baca', 'sungguh', 'allah', 'tahu', 'hari', 'kiamat', 'qs', 'luqman', 'jibril', 'alaihis', 'salam', 'pergi', 'kemudian', 'nabi', 'kata', 'hadap', 'sini', 'sahabat', 'lihat', 'sesuatu', 'nabi', 'sabda', 'malaikat', 'jibril', 'datang', 'manusia', 'ajar', 'agama', 'abu', 'abdullah', 'kata', 'semua', 'terang', 'beliau', 'jadi', 'iman'];0;0;1
['shalat', 'hadap', 'baitul', 'maqdis', 'lama', 'enam', 'belas', 'bulan', 'tujuh', 'belas', 'bulan', 'beliau', 'sangat', 'senang', 'sekali', 'kalau', 'shalat', 'hadap', 'baitullah', 'kabah', 'shalat', 'laku', 'beliau', 'pertama', 'kali', 'hadap', 'kabah', 'shalat', 'ashar', 'orangorang', 'ikut', 'shalat', 'sama', 'beliau', 'suatu', 'hari', 'sahabat', 'ikut', 'shalat', 'sama', 'nabi', 'pergi', 'lewat', 'orangorang', 'masjid', 'sedang', 'ruku', 'kata', 'aku', 'saksi', 'allah', 'aku', 'ikut', 'shalat', 'sama', 'rasulullah', 'hadap', 'makkah', 'orangorang', 'sedang', 'ruku', 'sebut', 'putar', 'hadap', 'baitullah', 'orangorang', 'yahudi', 'ahlul', 'kitab', 'jadi', 'heran', 'belum', 'nabi', 'shalat', 'hadap', 'baitul', 'maqdis', 'lihat', 'nabi', 'hadap', 'wajah', 'baitullah', 'ingkar', 'kata', 'zuhair', 'cerita', 'abu', 'ishaq', 'al', 'barro', 'haditsnya', 'terang', 'hukum', 'orang', 'tinggal', 'dunia', 'arah', 'qiblat', 'alih', 'banyak', 'orangorang', 'bunuh', 'masa', 'tahu', 'apa', 'sikap', 'hingga', 'akhir', 'allah', 'taala', 'turun', 'firman', 'allah', 'tidak', 'menyianyiakan', 'iman', 'kalian', 'qs', 'al', 'baqoroh'];0;0;1
['halal', 'jelas', 'haram', 'jelas', 'antara', 'dua', 'perkara', 'syubhat', 'samar', 'tahu', 'banyak', 'orang', 'barangsiapa', 'jauh', 'diri', 'syubhat', 'arti', 'pelihara', 'agama', 'hormat', 'barangsiapa', 'jatuh', 'kerja', 'perkaraperkara', 'syubhat', 'sungguh', 'orang', 'gembala', 'gembala', 'ternak', 'pinggir', 'jurang', 'khawatir', 'jatuh', 'dalam', 'tahu', 'raja', 'milik', 'batas', 'tahu', 'batas', 'larang', 'allah', 'bumi', 'apaapa', 'haram', 'tahu', 'tubuh', 'gumpal', 'darah', 'apabila', 'baik', 'baik', 'tubuh', 'sebut', 'apabila', 'rusak', 'rusak', 'tubuh', 'sebut', 'tahu', 'hati'];0;1;1
['perintah', 'empat', 'larang', 'empat', 'perintah', 'iman', 'allah', 'satusatunya', 'kemudian', 'tanya', 'tahu', 'kalian', 'apa', 'arti', 'iman', 'allah', 'satusatunya', 'jawab', 'allah', 'rasul', 'lebih', 'tahu', 'nabi', 'jelas', 'saksi', 'ilah', 'allah', 'muhammad', 'utus', 'allah', 'tegak', 'shalat', 'tunai', 'zakat', 'puasa', 'bulan', 'ramadlan', 'keluar', 'lima', 'harta', 'rampas', 'perang', 'nabi', 'larang', 'empat', 'perkara', 'jangan', 'kalian', 'minum', 'al', 'hantam', 'ad', 'dubbaa', 'an', 'naqir', 'al', 'muzaffaat', 'beliau', 'sebut', 'muqoyyir', 'bukan', 'naqir', 'nabi', 'sabda', 'jaga', 'semua', 'beritahukanlah', 'orangorang', 'kampung', 'kalian'];1;1;1
